iter,train_loss,val_loss
0,4.332759380340576,4.335877895355225
100,2.4600603580474854,2.481863021850586
200,2.381065845489502,2.4083380699157715
300,2.181985378265381,2.224317789077759
400,1.9768587350845337,2.0566306114196777
500,1.8335696458816528,1.9615752696990967
600,1.7334471940994263,1.8788636922836304
700,1.6499114036560059,1.8192790746688843
800,1.596629023551941,1.7653058767318726
900,1.5405704975128174,1.7261170148849487
1000,1.4968376159667969,1.6909388303756714
1100,1.461151123046875,1.6603955030441284
1200,1.4286160469055176,1.6326323747634888
1300,1.4047110080718994,1.6100677251815796
1400,1.3842345476150513,1.597514033317566
1500,1.3550149202346802,1.575640082359314
1600,1.334870457649231,1.5607351064682007
1700,1.3210971355438232,1.5584182739257812
1800,1.3060446977615356,1.5451879501342773
1900,1.2888259887695312,1.5344399213790894
2000,1.2733826637268066,1.5249282121658325
2100,1.2574158906936646,1.5162909030914307
2200,1.2471847534179688,1.5161645412445068
2300,1.2367397546768188,1.5067238807678223
2400,1.2236499786376953,1.5034822225570679
2500,1.210611343383789,1.4936351776123047
2600,1.202451467514038,1.4996877908706665
2700,1.1923538446426392,1.4918694496154785
2800,1.1774678230285645,1.4881998300552368
2900,1.1692698001861572,1.4917991161346436
3000,1.1552860736846924,1.48379385471344
3100,1.1486504077911377,1.480721354484558
3200,1.1347750425338745,1.486575722694397
3300,1.1281388998031616,1.4801849126815796
3400,1.1160718202590942,1.4827791452407837
3500,1.109283208847046,1.4872372150421143
3600,1.0992590188980103,1.4826111793518066
3700,1.0885528326034546,1.485892415046692
3800,1.0777480602264404,1.4948980808258057
3900,1.0672515630722046,1.498948335647583
4000,1.059191107749939,1.4908448457717896
4100,1.0510507822036743,1.5013844966888428
4200,1.037541151046753,1.4889354705810547
4300,1.0293004512786865,1.5048787593841553
4400,1.0207197666168213,1.5085012912750244
4500,1.0091110467910767,1.5135873556137085
4600,1.003541111946106,1.5188151597976685
4700,0.9910967946052551,1.5130982398986816
